Topic_ID,Topic
1,abilities
2,activism
3,adulthood
4,adults
5,adventure
6,age
7,alcohol
8,beatles
9,belief
10,books
11,change
12,character
13,children
14,chocolate
15,choices
16,christianity
17,classic
18,comedy
19,courage
20,death
21,determination
22,dream
23,drug
24,dumbledore
25,education
26,empathy
27,evil
28,failure
29,fairytales
30,fairy-tales
31,faith
32,fantasy
33,fate
34,fear
35,food
36,friends
37,friendship
38,genius
39,girls
40,god
41,good
42,greatness
43,growing-up
44,happiness
45,hate
46,hope
47,humor
48,imagination
49,imperfection
50,indifference
51,inspirational
52,integrity
53,justice
54,knowledge
55,learning
56,library
57,lies
58,life
59,lost
60,love
61,marriage
62,mind
63,miracles
64,mistakes
65,music
66,navigation
67,novelist-quotes
68,obvious
69,open-mind
70,opposites
71,paraphrased
72,peace
73,people
74,philosophy
75,planning
76,poetry
77,read
78,reading
79,regrets
80,religion
81,romance
82,seuss
83,simile
84,simplicity
85,sinister
86,stupidity
87,success
88,tea
89,thinking
90,thought
91,travel
92,troubles
93,trust
94,truth
95,understand
96,understanding
97,value
98,wander
99,wisdom
100,woman
101,women
102,world
103,writing
104,yourself
